iter	Passed	Remaining
0	2	2355
1	4	2139
2	6	2029
3	7	1953
4	9	1924
5	10	1665
6	10	1501
7	12	1520
8	12	1386
9	13	1332
10	15	1358
11	16	1379
12	18	1405
13	20	1431
14	22	1454
15	23	1470
16	25	1482
17	27	1501
18	29	1509
19	30	1515
20	32	1522
21	34	1529
22	34	1468
23	36	1479
24	38	1503
25	40	1516
26	42	1522
27	43	1526
28	45	1532
29	47	1535
30	49	1535
31	50	1541
32	52	1545
33	53	1524
34	55	1524
35	56	1525
36	58	1525
37	60	1525
38	62	1537
39	64	1540
40	65	1539
41	67	1541
42	68	1515
43	69	1515
44	71	1514
45	72	1513
46	74	1513
47	76	1513
48	78	1514
49	79	1518
50	81	1520
51	83	1520
52	85	1520
53	86	1521
54	88	1522
55	90	1523
56	92	1523
57	93	1522
58	95	1522
59	97	1523
60	98	1522
61	100	1521
62	102	1519
63	103	1520
64	105	1520
65	107	1521
66	109	1519
67	110	1518
68	112	1518
69	114	1517
70	115	1517
71	117	1519
72	118	1500
73	119	1500
74	121	1499
75	121	1478
76	123	1477
77	124	1476
78	126	1479
79	128	1478
80	130	1478
81	131	1477
82	133	1476
83	135	1475
84	136	1474
85	138	1472
86	140	1472
87	142	1476
88	144	1475
89	145	1473
90	147	1472
91	149	1471
92	150	1470
93	152	1470
94	154	1468
95	155	1467
96	157	1465
97	159	1468
98	161	1468
99	163	1468
100	165	1469
101	166	1469
102	168	1471
103	170	1471
104	172	1471
105	174	1469
106	175	1468
107	177	1467
108	179	1465
109	180	1464
110	182	1462
111	184	1461
112	185	1459
113	187	1457
114	189	1456
115	190	1455
116	192	1453
117	194	1451
118	196	1451
119	197	1449
120	199	1448
121	201	1447
122	202	1445
123	204	1444
124	206	1442
125	207	1441
126	209	1439
127	211	1439
128	212	1437
129	214	1435
130	216	1434
131	217	1432
132	219	1430
133	221	1429
134	223	1429
135	224	1428
136	226	1427
137	228	1426
138	230	1425
139	231	1424
140	233	1422
141	235	1421
142	237	1420
143	238	1419
144	240	1418
145	242	1416
146	243	1415
147	245	1414
148	247	1413
149	249	1413
150	251	1412
151	253	1411
152	254	1410
153	256	1409
154	258	1408
155	260	1408
156	262	1407
157	263	1406
158	265	1405
159	267	1404
160	269	1403
161	271	1402
162	272	1400
163	274	1399
164	276	1397
165	277	1395
166	279	1394
167	281	1393
168	283	1392
169	284	1390
170	286	1389
171	288	1388
172	290	1386
173	291	1384
174	293	1383
175	295	1382
176	296	1380
177	298	1379
178	300	1377
179	302	1376
180	303	1374
181	305	1373
182	307	1372
183	309	1370
184	310	1369
185	312	1367
186	314	1366
187	316	1365
188	317	1363
189	319	1361
190	321	1360
191	322	1359
192	324	1357
193	326	1355
194	328	1354
195	329	1352
196	331	1351
197	333	1349
198	335	1348
199	336	1347
200	338	1346
201	340	1345
202	342	1343
203	343	1341
204	345	1340
205	347	1338
206	348	1336
207	350	1335
208	352	1333
209	354	1331
210	355	1329
211	357	1328
212	359	1327
213	360	1325
214	362	1323
215	364	1321
216	365	1319
217	367	1317
218	369	1316
219	370	1314
220	372	1313
221	374	1311
222	375	1309
223	377	1308
224	379	1306
225	380	1304
226	382	1302
227	384	1300
228	385	1298
229	387	1296
230	388	1294
231	390	1292
232	392	1290
233	393	1288
234	395	1286
235	396	1284
236	398	1283
237	400	1281
238	401	1279
239	403	1278
240	405	1277
241	407	1275
242	408	1273
243	410	1271
244	412	1269
245	413	1268
246	415	1266
247	416	1264
248	418	1262
249	420	1260
250	421	1259
251	423	1257
252	425	1256
253	427	1254
254	428	1252
255	430	1250
256	432	1249
257	433	1247
258	435	1246
259	437	1244
260	438	1242
261	440	1240
262	442	1238
263	443	1236
264	445	1235
265	447	1233
266	448	1231
267	450	1230
268	452	1228
269	453	1226
270	455	1225
271	457	1224
272	459	1222
273	460	1221
274	462	1219
275	464	1217
276	465	1216
277	467	1214
278	469	1213
279	471	1211
280	472	1209
281	474	1207
282	475	1205
283	477	1204
284	479	1202
285	480	1200
286	482	1199
287	484	1197
288	486	1195
289	487	1194
290	489	1192
291	491	1191
292	492	1189
293	494	1187
294	496	1185
295	497	1184
296	499	1182
297	501	1180
298	502	1179
299	504	1177
300	506	1176
301	508	1174
302	509	1173
303	511	1171
304	513	1169
305	515	1168
306	516	1166
307	518	1164
308	520	1163
309	521	1161
310	523	1159
311	525	1157
312	526	1156
313	528	1154
314	530	1152
315	531	1151
316	533	1149
317	535	1148
318	536	1146
319	538	1144
320	540	1142
321	541	1141
322	543	1139
323	545	1137
324	547	1136
325	548	1134
326	550	1132
327	552	1131
328	553	1129
329	555	1127
330	557	1126
331	558	1124
332	560	1122
333	562	1120
334	563	1119
335	565	1117
336	567	1116
337	569	1114
338	570	1112
339	572	1110
340	573	1109
341	575	1107
342	577	1105
343	578	1104
344	580	1102
345	582	1100
346	583	1098
347	585	1096
348	587	1095
349	588	1093
350	590	1092
351	592	1090
352	593	1088
353	595	1086
354	597	1084
355	598	1083
356	600	1081
357	602	1080
358	604	1078
359	605	1076
360	607	1074
361	608	1072
362	610	1071
363	612	1069
364	613	1067
365	615	1065
366	616	1063
367	618	1061
368	619	1060
369	621	1058
370	623	1056
371	624	1054
372	626	1052
373	627	1051
374	629	1049
375	631	1047
376	632	1045
377	634	1044
378	636	1042
379	637	1040
380	639	1038
381	641	1037
382	642	1035
383	644	1033
384	645	1031
385	647	1029
386	648	1027
387	650	1026
388	652	1024
389	653	1022
390	655	1020
391	657	1019
392	659	1017
393	660	1016
394	662	1014
395	664	1012
396	665	1011
397	667	1009
398	668	1007
399	670	1005
400	672	1003
401	673	1002
402	675	1000
403	677	998
404	678	997
405	680	995
406	682	993
407	683	991
408	685	990
409	686	988
410	688	986
411	690	984
412	691	982
413	693	981
414	694	979
415	696	977
416	697	975
417	699	974
418	701	972
419	702	970
420	704	968
421	706	967
422	707	965
423	709	963
424	711	961
425	712	960
426	714	958
427	715	956
428	717	954
429	718	953
430	720	951
431	722	949
432	723	947
433	725	946
434	726	944
435	728	942
436	730	940
437	731	938
438	733	937
439	735	935
440	736	933
441	738	931
442	739	930
443	741	928
444	743	926
445	744	925
446	746	923
447	747	921
448	749	919
449	751	918
450	752	916
451	754	914
452	756	912
453	757	911
454	759	909
455	760	907
456	762	905
457	764	904
458	765	902
459	767	900
460	768	899
461	770	897
462	772	895
463	774	894
464	775	892
465	777	890
466	778	888
467	780	887
468	782	885
469	783	883
470	785	882
471	786	880
472	788	878
473	790	876
474	791	875
475	793	873
476	794	871
477	796	869
478	798	868
479	799	866
480	801	864
481	802	862
482	804	861
483	806	859
484	807	857
485	809	855
486	810	854
487	812	852
488	814	850
489	815	849
490	817	847
491	819	845
492	820	843
493	822	842
494	823	840
495	825	838
496	827	837
497	828	835
498	830	833
499	831	831
500	833	830
501	835	828
502	836	826
503	838	825
504	840	823
505	841	821
506	843	819
507	844	818
508	846	816
509	848	814
510	849	813
511	851	811
512	852	809
513	854	807
514	855	806
515	857	804
516	859	802
517	860	801
518	862	799
519	864	797
520	865	795
521	867	794
522	868	792
523	870	790
524	872	789
525	873	787
526	875	785
527	877	784
528	878	782
529	880	780
530	882	779
531	883	777
532	885	775
533	887	774
534	888	772
535	890	770
536	891	769
537	893	767
538	895	765
539	896	764
540	898	762
541	900	760
542	901	758
543	903	757
544	905	755
545	906	753
546	908	752
547	909	750
548	911	748
549	913	747
550	914	745
551	916	743
552	918	742
553	919	740
554	921	738
555	923	737
556	924	735
557	926	733
558	928	732
559	929	730
560	931	728
561	932	727
562	934	725
563	936	723
564	937	721
565	939	720
566	940	718
567	942	716
568	943	715
569	945	713
570	947	711
571	948	709
572	950	708
573	951	706
574	953	704
575	955	703
576	956	701
577	958	699
578	960	698
579	961	696
580	963	694
581	964	693
582	966	691
583	968	689
584	969	687
585	971	686
586	973	684
587	974	682
588	976	681
589	978	679
590	979	678
591	981	676
592	983	674
593	984	673
594	986	671
595	988	669
596	989	668
597	991	666
598	993	664
599	994	663
600	996	661
601	998	659
602	999	658
603	1001	656
604	1003	654
605	1004	653
606	1006	651
607	1007	649
608	1009	648
609	1011	646
610	1012	644
611	1014	643
612	1015	641
613	1017	639
614	1019	637
615	1020	636
616	1022	634
617	1023	632
618	1025	631
619	1027	629
620	1028	627
621	1030	626
622	1031	624
623	1033	622
624	1035	621
625	1036	619
626	1038	617
627	1039	616
628	1041	614
629	1043	612
630	1044	611
631	1046	609
632	1048	607
633	1049	605
634	1051	604
635	1053	602
636	1054	601
637	1056	599
638	1057	597
639	1059	596
640	1061	594
641	1062	592
642	1064	590
643	1066	589
644	1067	587
645	1069	585
646	1070	584
647	1072	582
648	1074	580
649	1075	579
650	1077	577
651	1078	575
652	1080	574
653	1082	572
654	1083	570
655	1085	569
656	1086	567
657	1088	565
658	1090	564
659	1091	562
660	1093	560
661	1094	559
662	1096	557
663	1098	555
664	1099	554
665	1101	552
666	1103	550
667	1104	549
668	1106	547
669	1108	545
670	1109	544
671	1111	542
672	1112	540
673	1114	539
674	1116	537
675	1117	535
676	1119	534
677	1121	532
678	1122	530
679	1124	529
680	1125	527
681	1127	525
682	1129	524
683	1130	522
684	1132	520
685	1134	519
686	1135	517
687	1137	515
688	1138	514
689	1140	512
690	1142	510
691	1143	509
692	1145	507
693	1147	505
694	1148	504
695	1150	502
696	1151	500
697	1153	499
698	1155	497
699	1156	495
700	1158	494
701	1159	492
702	1161	490
