Komoditas,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Beras Kualitas Bawah,Beras Kualitas Medium,Beras Kualitas Super
01/ 01/ 2020,-,-,-,-,-,-,-,0,0,0
02/ 01/ 2020,11150,10100,9500,11350,10850,12900,12100,9800,11100,12500
03/ 01/ 2020,11150,10100,9500,11350,10850,12900,12100,9800,11100,12500
06/ 01/ 2020,11150,10150,9550,11350,10850,12900,12100,9850,11100,12500
07/ 01/ 2020,11200,10200,9650,11400,10900,12950,12150,9925,11150,12550
08/ 01/ 2020,11200,10200,9650,11400,10900,12950,12150,9925,11150,12550
09/ 01/ 2020,11200,10200,9650,11400,10900,12950,12150,9925,11150,12550
10/ 01/ 2020,11200,10200,9650,11400,10900,12950,12150,9925,11150,12550
13/ 01/ 2020,11250,10200,9650,11450,10900,13000,12150,9925,11175,12575
14/ 01/ 2020,11250,10200,9650,11450,10900,13000,12150,9925,11175,12575
15/ 01/ 2020,11250,10200,9650,11450,10900,13000,12150,9925,11175,12575
16/ 01/ 2020,11250,10200,9650,11450,10900,13000,12150,9925,11175,12575
17/ 01/ 2020,11250,10250,9650,11450,10950,13000,12150,9950,11200,12575
20/ 01/ 2020,11300,10250,9700,11500,10950,13050,12200,9975,11225,12625
21/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
22/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
23/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
24/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
27/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
28/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
29/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
30/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
31/ 01/ 2020,11350,10350,9800,11600,11050,13100,12250,10075,11325,12675
03/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
04/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
05/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
06/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
07/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
10/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
11/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
12/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
13/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
14/ 02/ 2020,11400,104,9800,11600,11050,13100,12300,4952,11325,12700
17/ 02/ 2020,11400,10400,9800,11600,11100,13100,12300,10100,11350,12700
18/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
19/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
20/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
21/ 02/ 2020,11400,10400,9800,11600,11050,13100,12300,10100,11325,12700
24/ 02/ 2020,11350,10400,9850,11600,11100,13050,12300,10125,11350,12675
25/ 02/ 2020,11400,10400,9800,11600,11100,13100,12300,10100,11350,12700
26/ 02/ 2020,11400,10400,9800,11600,11100,13100,12300,10100,11350,12700
27/ 02/ 2020,11400,10400,9800,11600,11100,13100,12300,10100,11350,12700
28/ 02/ 2020,11400,10400,9800,11600,11100,13100,12300,10100,11350,12700
02/ 03/ 2020,11400,10400,9850,11600,11100,13100,12300,10125,11350,12700
03/ 03/ 2020,11400,10400,9850,11600,11100,13100,12300,10125,11350,12700
04/ 03/ 2020,11400,10400,9850,11600,11100,13100,12300,10125,11350,12700
05/ 03/ 2020,11400,10400,9850,11600,11100,13100,12300,10125,11350,12700
06/ 03/ 2020,11400,10400,9850,11600,11100,13100,12300,10125,11350,12700
09/ 03/ 2020,11400,10400,9850,11600,11100,13150,12300,10125,11350,12725
10/ 03/ 2020,11400,10400,9850,11600,11100,13150,12350,10125,11350,12750
11/ 03/ 2020,11450,10450,9850,11650,11150,13150,12400,10150,11400,12775
12/ 03/ 2020,11450,10450,9850,11650,11150,13150,12400,10150,11400,12775
13/ 03/ 2020,11450,10450,9850,11650,11150,13150,12400,10150,11400,12775
16/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
17/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
18/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
19/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
20/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
23/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
24/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
25/ 03/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
26/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
27/ 03/ 2020,11450,10450,9900,11650,11150,13150,12400,10175,11400,12775
30/ 03/ 2020,11450,10500,9900,11650,11150,13200,12400,10200,11400,12800
31/ 03/ 2020,11500,10500,9900,11700,11150,13200,12400,10200,11425,12800
01/ 04/ 2020,11500,10500,9900,11700,11150,13200,12400,10200,11425,12800
02/ 04/ 2020,11500,10500,9900,11700,11150,13200,12400,10200,11425,12800
03/ 04/ 2020,11500,10500,9900,11700,11150,13200,12400,10200,11425,12800
06/ 04/ 2020,11500,10550,9900,11700,11200,13200,12400,10225,11450,12800
07/ 04/ 2020,11500,10550,9950,11700,11200,13200,12400,10250,11450,12800
08/ 04/ 2020,11500,10550,9950,11700,11200,13200,12400,10250,11450,12800
09/ 04/ 2020,11500,10550,9950,11700,11200,13200,12400,10250,11450,12800
10/ 04/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
13/ 04/ 2020,11500,10550,9900,11700,11200,13200,12400,10225,11450,12800
14/ 04/ 2020,11500,10550,9900,11700,11200,13200,12400,10225,11450,12800
15/ 04/ 2020,11500,10550,9900,11700,11200,13200,12400,10225,11450,12800
16/ 04/ 2020,11500,10500,9900,11700,11200,13200,12400,10200,11450,12800
17/ 04/ 2020,11500,10500,9900,11700,11150,13200,12400,10200,11425,12800
20/ 04/ 2020,11500,10500,9900,11700,11150,13250,12400,10200,11425,12825
21/ 04/ 2020,11500,10500,9900,11700,11150,13250,12400,10200,11425,12825
22/ 04/ 2020,11500,10500,9900,11700,11150,13250,12400,10200,11425,12825
23/ 04/ 2020,11500,10500,9900,11700,11150,13250,12400,10200,11425,12825
24/ 04/ 2020,11500,10550,9950,11700,11200,13250,12400,10250,11450,12825
27/ 04/ 2020,11450,10500,9900,11650,11150,13200,12350,10200,11400,12775
28/ 04/ 2020,11450,10500,9900,11650,11150,13200,12350,10200,11400,12775
29/ 04/ 2020,11450,10500,9900,11650,11150,13200,12350,10200,11400,12775
30/ 04/ 2020,11450,10500,9900,11650,11150,13200,12350,10200,11400,12775
01/ 05/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
04/ 05/ 2020,11450,10500,9850,11650,11150,13200,12350,10175,11400,12775
05/ 05/ 2020,11450,10500,9850,11650,11150,13200,12350,10175,11400,12775
06/ 05/ 2020,11450,10450,9850,11600,11100,13150,12350,10150,11350,12750
07/ 05/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
08/ 05/ 2020,11400,10450,9850,11600,11100,13100,12300,10150,11350,12700
11/ 05/ 2020,11400,10450,9850,11600,11100,13100,12300,10150,11350,12700
12/ 05/ 2020,11400,10400,9850,11550,11100,13100,12300,10125,11325,12700
13/ 05/ 2020,11400,10400,9850,11550,11100,13100,12300,10125,11325,12700
14/ 05/ 2020,11400,10400,9800,11550,11050,13100,12350,10100,11300,12725
15/ 05/ 2020,11400,10400,9800,11550,11050,13100,12350,10100,11300,12725
18/ 05/ 2020,11400,10400,9800,11550,11050,13100,12350,10100,11300,12725
19/ 05/ 2020,11400,10400,9800,11550,11050,13100,12350,10100,11300,12725
20/ 05/ 2020,11400,10400,9800,11550,11050,13150,12350,10100,11300,12750
21/ 05/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
22/ 05/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
25/ 05/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
26/ 05/ 2020,11400,10400,9800,11550,11050,13150,12350,10100,11300,12750
27/ 05/ 2020,11350,10400,9800,11500,11050,13150,12350,10100,11275,12750
28/ 05/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
29/ 05/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
01/ 06/ 2020,-,-,-,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!
02/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
03/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
04/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
05/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
08/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
09/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
10/ 06/ 2020,11350,10350,9800,11500,11050,13050,12300,10075,11275,12675
11/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
12/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
15/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
16/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
17/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
18/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
19/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
22/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
23/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
24/ 06/ 2020,11350,10350,9800,11500,11050,13100,12300,10075,11275,12700
