Komoditas,UMP,BBM Solar,quantity
01/01/2020,"1,810,351","9,500","113,151"
02/01/2020,"1,810,351","9,500","113,151"
03/01/2020,"1,810,351","9,500","113,151"
04/01/2020,"1,810,351","9,500","113,151"
05/01/2020,"1,810,351","9,500","113,151"
06/01/2020,"1,810,351","9,500","113,151"
07/01/2020,"1,810,351","9,500","113,151"
08/01/2020,"1,810,351","9,500","113,151"
09/01/2020,"1,810,351","9,500","113,151"
10/01/2020,"1,810,351","9,500","113,151"
11/01/2020,"1,810,351","9,500","113,151"
12/01/2020,"1,810,351","9,500","113,151"
13/01/2020,"1,810,351","9,500","113,151"
14/01/2020,"1,810,351","9,500","113,151"
15/01/2020,"1,810,351","9,500","113,151"
16/01/2020,"1,810,351","9,500","113,151"
17/01/2020,"1,810,351","9,500","113,151"
18/01/2020,"1,810,351","9,500","113,151"
19/01/2020,"1,810,351","9,500","113,151"
20/01/2020,"1,810,351","9,500","113,151"
21/01/2020,"1,810,351","9,500","113,151"
22/01/2020,"1,810,351","9,500","113,151"
23/01/2020,"1,810,351","9,500","113,151"
24/01/2020,"1,810,351","9,500","113,151"
25/01/2020,"1,810,351","9,500","113,151"
26/01/2020,"1,810,351","9,500","113,151"
27/01/2020,"1,810,351","9,500","113,151"
28/01/2020,"1,810,351","9,500","113,151"
29/01/2020,"1,810,351","9,500","113,151"
30/01/2020,"1,810,351","9,500","113,151"
31/01/2020,"1,810,351","9,500","113,151"
01/02/2020,"1,810,351","9,500","113,151"
02/02/2020,"1,810,351","9,500","113,151"
03/02/2020,"1,810,351","9,500","113,151"
04/02/2020,"1,810,351","9,500","113,151"
05/02/2020,"1,810,351","9,500","113,151"
06/02/2020,"1,810,351","9,500","113,151"
07/02/2020,"1,810,351","9,500","113,151"
08/02/2020,"1,810,351","9,500","113,151"
09/02/2020,"1,810,351","9,500","113,151"
10/02/2020,"1,810,351","9,500","113,151"
11/02/2020,"1,810,351","9,500","113,151"
12/02/2020,"1,810,351","9,500","113,151"
13/02/2020,"1,810,351","9,500","113,151"
14/02/2020,"1,810,351","9,500","113,151"
15/02/2020,"1,810,351","9,500","113,151"
16/02/2020,"1,810,351","9,500","113,151"
17/02/2020,"1,810,351","9,500","113,151"
18/02/2020,"1,810,351","9,500","113,151"
19/02/2020,"1,810,351","9,500","113,151"
20/02/2020,"1,810,351","9,500","113,151"
21/02/2020,"1,810,351","9,500","113,151"
22/02/2020,"1,810,351","9,500","113,151"
23/02/2020,"1,810,351","9,500","113,151"
24/02/2020,"1,810,351","9,500","113,151"
25/02/2020,"1,810,351","9,500","113,151"
26/02/2020,"1,810,351","9,500","113,151"
27/02/2020,"1,810,351","9,500","113,151"
28/02/2020,"1,810,351","9,500","113,151"
29/02/2020,"1,810,351","9,500","113,151"
01/03/2020,"1,810,351","9,500","113,151"
02/03/2020,"1,810,351","9,500","113,151"
03/03/2020,"1,810,351","9,500","113,151"
04/03/2020,"1,810,351","9,500","113,151"
05/03/2020,"1,810,351","9,500","113,151"
06/03/2020,"1,810,351","9,500","113,151"
07/03/2020,"1,810,351","9,500","113,151"
08/03/2020,"1,810,351","9,500","113,151"
09/03/2020,"1,810,351","9,500","113,151"
10/03/2020,"1,810,351","9,500","113,151"
11/03/2020,"1,810,351","9,500","113,151"
12/03/2020,"1,810,351","9,500","113,151"
13/03/2020,"1,810,351","9,500","113,151"
14/03/2020,"1,810,351","9,500","113,151"
15/03/2020,"1,810,351","9,500","113,151"
16/03/2020,"1,810,351","9,500","113,151"
17/03/2020,"1,810,351","9,500","113,151"
18/03/2020,"1,810,351","9,500","113,151"
19/03/2020,"1,810,351","9,500","113,151"
20/03/2020,"1,810,351","9,500","113,151"
21/03/2020,"1,810,351","9,500","113,151"
22/03/2020,"1,810,351","9,500","113,151"
23/03/2020,"1,810,351","9,500","113,151"
24/03/2020,"1,810,351","9,500","113,151"
25/03/2020,"1,810,351","9,500","113,151"
26/03/2020,"1,810,351","9,500","113,151"
27/03/2020,"1,810,351","9,500","113,151"
28/03/2020,"1,810,351","9,500","113,151"
29/03/2020,"1,810,351","9,500","113,151"
30/03/2020,"1,810,351","9,500","113,151"
31/03/2020,"1,810,351","9,500","113,151"
01/04/2020,"1,810,351","9,500","113,151"
02/04/2020,"1,810,351","9,500","113,151"
03/04/2020,"1,810,351","9,500","113,151"
04/04/2020,"1,810,351","9,500","113,151"
05/04/2020,"1,810,351","9,500","113,151"
06/04/2020,"1,810,351","9,500","113,151"
07/04/2020,"1,810,351","9,500","113,151"
08/04/2020,"1,810,351","9,500","113,151"
09/04/2020,"1,810,351","9,500","113,151"
10/04/2020,"1,810,351","9,500","113,151"
11/04/2020,"1,810,351","9,500","113,151"
12/04/2020,"1,810,351","9,500","113,151"
13/04/2020,"1,810,351","9,500","113,151"
14/04/2020,"1,810,351","9,500","113,151"
15/04/2020,"1,810,351","9,500","113,151"
16/04/2020,"1,810,351","9,500","113,151"
17/04/2020,"1,810,351","9,500","113,151"
18/04/2020,"1,810,351","9,500","113,151"
19/04/2020,"1,810,351","9,500","113,151"
20/04/2020,"1,810,351","9,500","113,151"
21/04/2020,"1,810,351","9,500","113,151"
22/04/2020,"1,810,351","9,500","113,151"
23/04/2020,"1,810,351","9,500","113,151"
24/04/2020,"1,810,351","9,500","113,151"
25/04/2020,"1,810,351","9,500","113,151"
26/04/2020,"1,810,351","9,500","113,151"
27/04/2020,"1,810,351","9,500","113,151"
28/04/2020,"1,810,351","9,500","113,151"
29/04/2020,"1,810,351","9,500","113,151"
30/04/2020,"1,810,351","9,500","113,151"
01/05/2020,"1,810,351","9,500","113,151"
02/05/2020,"1,810,351","9,500","113,151"
03/05/2020,"1,810,351","9,500","113,151"
04/05/2020,"1,810,351","9,500","113,151"
05/05/2020,"1,810,351","9,500","113,151"
06/05/2020,"1,810,351","9,500","113,151"
07/05/2020,"1,810,351","9,500","113,151"
08/05/2020,"1,810,351","9,500","113,151"
09/05/2020,"1,810,351","9,500","113,151"
10/05/2020,"1,810,351","9,500","113,151"
11/05/2020,"1,810,351","9,500","113,151"
12/05/2020,"1,810,351","9,500","113,151"
13/05/2020,"1,810,351","9,500","113,151"
