Komoditas,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
01/ 01/ 2020,-,-,-,-,-,-,-
02/ 01/ 2020,"11,150","10,100","9,500","11,350","10,850","12,900","12,100"
03/ 01/ 2020,"11,150","10,100","9,500","11,350","10,850","12,900","12,100"
06/ 01/ 2020,"11,150","10,150","9,550","11,350","10,850","12,900","12,100"
07/ 01/ 2020,"11,200","10,200","9,650","11,400","10,900","12,950","12,150"
08/ 01/ 2020,"11,200","10,200","9,650","11,400","10,900","12,950","12,150"
09/ 01/ 2020,"11,200","10,200","9,650","11,400","10,900","12,950","12,150"
10/ 01/ 2020,"11,200","10,200","9,650","11,400","10,900","12,950","12,150"
13/ 01/ 2020,"11,250","10,200","9,650","11,450","10,900","13,000","12,150"
14/ 01/ 2020,"11,250","10,200","9,650","11,450","10,900","13,000","12,150"
15/ 01/ 2020,"11,250","10,200","9,650","11,450","10,900","13,000","12,150"
16/ 01/ 2020,"11,250","10,200","9,650","11,450","10,900","13,000","12,150"
17/ 01/ 2020,"11,250","10,250","9,650","11,450","10,950","13,000","12,150"
20/ 01/ 2020,"11,300","10,250","9,700","11,500","10,950","13,050","12,200"
21/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
22/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
23/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
24/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
27/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
28/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
29/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
30/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
31/ 01/ 2020,"11,350","10,350","9,800","11,600","11,050","13,100","12,250"
03/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
04/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
05/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
06/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
07/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
10/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
11/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
12/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
13/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
14/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
17/ 02/ 2020,"11,400","10,400","9,800","11,600","11,100","13,100","12,300"
18/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
19/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
20/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
21/ 02/ 2020,"11,400","10,400","9,800","11,600","11,050","13,100","12,300"
24/ 02/ 2020,"11,350","10,400","9,850","11,600","11,100","13,050","12,300"
